Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text
144,B001GVISJW,A1Z54EM24Y40LL,c2,0,0,5,1269129600,Great for the kids!,"If you are looking for a less messy version of licorice for the children, then be sure to try these!  They're soft, easy to chew, and they don't get your hands all sticky and gross in the car, in the summer, at the beach, etc. We love all the flavos and sometimes mix these in with the chocolate to have a very nice snack! Great item, great price too, highly recommend!"
2564,B000ED9LDU,A1VWS6CYSXHN2K,M. Chan,0,0,5,1309996800,A must have for healthy life,"It's also a routine baking ingredient. I put it into my bread along with sunflower seeds and organic wheat flour. I also put it into my smoothie, stir fry dishes....anything you can think of! Good price and really, it's a must have for a healthy diet!"
3205,B005K4Q1VI,A1BJHZE41QWBX6,"Sharon Pipke ""Sharon""",0,0,5,1349568000,"Grove Square Hot Cocoa Cups, Milk Chocolate, Single Serve cup for Keurig K-cup brewers, 24 Count","I received the K-cups on time and in execellant condition. I usually drink coffee, but at night the Hot cocoa is good with a snack, just before bed."
3588,B004X8TK9W,A1Z54EM24Y40LL,c2,1,1,5,1338249600,AWESOME!,"I may be dating myself here a bit but I remember when the first Soft Batch cookies came out.  These were the first and they were bigger and yes, even softer than these are now.  But, at that time, they were the ONLY soft, prepackaged cookie (can you believe that?) besides Archway.  They then came out with at least a dozen other varieties but for some reason, they stopped making them.  I can remember every kid imaginable going nuts over these things so I'm wondering why they stopped.<br /><br />Anyway, back to today, these cookies, even though they're smaller, are still quite excellent.  They are just so soft and taste better than Keebler's other soft and chewy cookies.  This package made it about 20 minutes in this house - that's what happens when you're raising a bunch of Titan boys!<br /><br />Great, great stuff, HIGHLY recommend!"
4994,B000FA398U,A1Z54EM24Y40LL,c2,3,3,5,1203206400,Best for oyster soup!,"Try these first for all your seafood soups and stews.  They're just amazing. The flavor enhances all your seafood and just makes it wonderful.  Plus, these are great just to snack on out of the bag.  Kids love them!  We use them for chilis, soups, and recipes as well.  Highly recommend!"
6372,B000084EKO,A1Z54EM24Y40LL,c2,0,0,3,1090800000,Not any different than regular Friskies,"I honestly cannot say that I saw any difference whatsoever in this variety compared to Friskies regular sliced beef version.  Actually, my cat preferred the regular Friskies over this one.  He's not really all that jazzed over these Fancy Feast varieties anyway, so if you're going to buy this one or the chicken, save your money and buy the regular Friskies versions.  They seem to taste better to the cat and it saves you money.  I've never had a cat that ever got too thrilled over this variety over the years so I guess I'll get the special ones instead."
6373,B000084EKA,A1Z54EM24Y40LL,c2,0,0,4,1090972800,Not their best...,"I think 9 Lives does a better job on this variety than Friskies.  Or I should say my cat does.  Friskies doesn't look as fresh or as appetizing as 9 Lives, and my cat doesn't like it as well.  It just smells nasty and looks not quite as good as the 9 Lives.  I think they could definitely do better on this variety -maybe even add cheese to it!  My cat leaves this one in the dish but eats the 9 Lives version."
6374,B000084EKB,A1Z54EM24Y40LL,c2,0,0,4,1091059200,Great food!,"This version is ground.  NOt my current cat's favorite version, but he really likes the taste. I do wish they'd make this one not ground but in the pieces variety too.  My previous cat really liked this one and usually licked the bowl clean. But, neither wanted it more than once or twice a month.  Why, I don't know but it seems to be a little richer than the others."
6375,B000084EKC,A1Z54EM24Y40LL,c2,1,1,5,1090972800,Great food for all cats!,"According to my cat, this stuff is just great.  He just licks himself for hours after eating this one and just loves the taste.  He will lick the bowl clean on this one and eats it usually pretty quickly.  But, he still doesn't want it more than 2-3 times a month because it's fish - not exactly his favorite food.  It's a great diversion from his regular fare and one that he truly appreciates."
6376,B000084EKD,A1Z54EM24Y40LL,c2,1,1,2,1090972800,Needs improved,"I haven't had a cat yet that liked this one.  It's just a little too interesting for them I think.  It smells nasty but I think it's just the taste that really gets them.  My current cat just won't touch it - he might eat a couple of bites if he's REALLY hungry, but I always wind up throwing it out.  This one is ground so if your cat likes pieces, don't try this one."
6381,B000084EKG,A1Z54EM24Y40LL,c2,2,2,5,1090972800,Awesome food!,"This is my cat's favorite one.  He just licks that bowl clean whenever he gets it.  I usually buy a case of this one at a time and judging from how often it sells out, other cats must love it too.  The cheese hunks are large and look quite tasty.  It's just a very nice variety and something I'm sure every cat loves.  My previous cat about ran me down whenever I got it out to give to him and my current cat is no different.  Give this one a try - you'll be glad you did!"
6383,B000084EK8,A1Z54EM24Y40LL,c2,2,2,3,1090972800,Not the favorite in our house,"Once or twice a year for a little variety and that's about enough for my cat of this particular variety.  He likes it for a change from his chicken, turkey and beef, but not very often.  He will eat about 3/4 of the can and then he's had enough. He's not a huge fish fan anyway, but this stuff looks to be about the best out there in the fish varieties.  The chunks are bit sized so if your cat has a small mouth like mine does, it will be easier to chew.  Don't know why my cat doesn't like this type of fish, but he really could care less about it."
6386,B000084EK9,A1Z54EM24Y40LL,c2,0,0,1,1090972800,This stuff is bad!,"I honestly have to say that I just won't buy this variety. It looks bad, smells bad and I'm sure tastes bad because my cat won't touch it.  No way, no how, won't even look at it.  My other cat was the same way with this one.  It just looks like a huge ground up mess of leftovers they had at a fish market.  I'm sure some cats must like it because it's still being made, but there's other things out there much, much better than this one."
6394,B000084EK4,A1Z54EM24Y40LL,c2,0,0,3,1090972800,Great beef look,"This food variety is ground, thus my cat doesn't care that much for this variety. But, he liked the taste of it a lot so I have been buying it off and on throughout the years.  My previous cat really liked it so I've purchased quite a few of these.  It's got that liver smell to it but they like it so who cares? If your cat likes ground, give this one a try for sure."
6395,B000084EK5,A1Z54EM24Y40LL,c2,1,1,5,1090972800,Family favorite - looks like steak!,This is my cat's third favorite food.  It's great stuff - the gravy is so very thick and the food looks like bits of steak slicked off for your friend.  My cat licks the bowl clean every time and wants more.  They should send me discounts for as much of this stuff I buy.  I buy it by the case if that gives you some idea!
